precheck1	seed=1	variance=14.123013564599	tolerance=1.006823332435	pooled_n=300000	pooled_variance=13.804505565419	empirical_variance=13.2802
precheck2	mean_signed_movement=0.169976215071	expected=0.171
precheck3	scenario=Q5	paired_sd=0.509429539081
precheck3	scenario=Q20	paired_sd=1.610686454815
precheck3	scenario=Q80	paired_sd=5.365488243716
precheck3	scenario=M5	paired_sd=1.447168237907
precheck3	scenario=M20	paired_sd=1.055791069009
precheck3	scenario=M80	paired_sd=1.478301388106
precheck3	scenario=A20	paired_sd=1.119361438037
precheck3	scenario=B20	paired_sd=0.218777996546
precheck3	s_max=5.365488243716	S=1843
precheck3	S=1843 exceeds 1000; runtime scales linearly with S
candidate	scenario	budget_pairs	estimator	mean_loss	start_loss	mean_diff_vs_current	se_diff	clip_fraction
C2	A20	3000	final	39.487390539579	70.400000000000	-9.560937575021	0.055673670632	0.000000000000
C2	A20	3000	average	45.476338506782	70.400000000000	-3.571989607819	0.054630575335	0.000000000000
C2	A20	6000	final	23.385728052089	70.400000000000	-25.662600062511	0.043795262320	0.000000000000
C2	A20	6000	average	30.138750370854	70.400000000000	-18.909577743746	0.043176727119	0.000000000000
C2	A20	12000	final	11.744817777778	70.400000000000	-37.303510336823	0.042532000700	0.000000000000
C2	A20	12000	average	15.736509152650	70.400000000000	-33.311818961951	0.034439341000	0.000000000000
C2	B20	3000	final	0.469971823717	0.000000000000	-0.174825768210	0.004728006444	1.000000000000
C2	B20	3000	average	0.336805844882	0.000000000000	-0.307991747046	0.004429523483	1.000000000000
C2	B20	6000	final	0.649358302285	0.000000000000	0.004560710357	0.004935387511	1.000000000000
C2	B20	6000	average	0.479610243162	0.000000000000	-0.165187348766	0.003979925652	1.000000000000
C2	B20	12000	final	0.778631665762	0.000000000000	0.133834073835	0.005393030967	1.000000000000
C2	B20	12000	average	0.576149366365	0.000000000000	-0.068648225563	0.003177200230	1.000000000000
